사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Sep,2호선,22,건대입구,195 ,16 ,14240 ,1827 ,18373 ,16273 ,44660 ,23590 ,75564 ,53821 ,49061 ,37797 ,27155 ,30043 ,25855 ,29967 ,29108 ,36234 ,32036 ,40862 ,33876 ,41971 ,36778 ,46857 ,42044 ,52343 ,52516 ,71337 ,67294 ,111131 ,48004 ,79680 ,48891 ,45409 ,48578 ,43211 ,39086 ,31098 ,17327 ,18251 ,16 ,2384 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,23,구의(광진구청),25 ,2 ,12579 ,1025 ,22739 ,8803 ,57117 ,12914 ,93637 ,34479 ,52998 ,21088 ,26442 ,15738 ,21313 ,15214 ,22039 ,17296 ,22765 ,19323 ,21035 ,21159 ,21102 ,26838 ,23592 ,30721 ,27159 ,44125 ,35174 ,76630 ,18979 ,56024 ,14322 ,35082 ,13827 ,33538 ,10816 ,25371 ,4639 ,12712 ,3 ,1179 ,0 ,1 ,0 ,0 ,0 ,0 
20-Sep,2호선,24,강변(동서울터미널),17 ,1 ,7885 ,2341 ,22288 ,17475 ,64478 ,21041 ,88470 ,39001 ,59442 ,31686 ,38988 ,30117 ,35463 ,27877 ,35032 ,31542 ,35536 ,34448 ,33718 ,36407 ,34312 ,42228 ,36749 ,47293 ,41082 ,63228 ,49420 ,94770 ,36902 ,68090 ,28304 ,42311 ,24396 ,34295 ,15453 ,27137 ,5099 ,14549 ,1 ,281 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,25,잠실나루,3 ,0 ,2513 ,1435 ,9449 ,8769 ,31562 ,20039 ,36800 ,32172 ,22311 ,20250 ,15951 ,13591 ,15099 ,11844 ,14877 ,14049 ,14414 ,14470 ,15936 ,13104 ,17109 ,12733 ,21208 ,13590 ,25582 ,19137 ,25958 ,32780 ,12745 ,24641 ,8953 ,13734 ,6785 ,12813 ,4353 ,9393 ,1538 ,5900 ,1 ,32 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,26,잠실(송파구청),96 ,8 ,10535 ,4435 ,38640 ,27962 ,89352 ,62807 ,127197 ,136270 ,89264 ,103534 ,53331 ,59541 ,52251 ,56224 ,56556 ,58346 ,61611 ,63990 ,62970 ,63170 ,69520 ,70500 ,82201 ,80591 ,116855 ,107308 ,153210 ,163431 ,98451 ,111966 ,95327 ,66177 ,70145 ,60703 ,48253 ,44599 ,13571 ,26288 ,3 ,76 ,1 ,0 ,1 ,1 ,0 ,0 
20-Sep,2호선,27,잠실새내,7 ,0 ,3986 ,846 ,13004 ,7106 ,43402 ,13702 ,54669 ,22409 ,31505 ,23131 ,19564 ,18535 ,18266 ,18234 ,20246 ,19317 ,20943 ,21945 ,20255 ,23271 ,22222 ,25307 ,26041 ,28492 ,26690 ,39793 ,30971 ,63832 ,23036 ,44992 ,19512 ,23691 ,19219 ,20442 ,14272 ,15684 ,6027 ,9053 ,5 ,548 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,28,종합운동장,2 ,0 ,1487 ,899 ,4862 ,5181 ,13926 ,8842 ,17909 ,16897 ,12688 ,8201 ,7402 ,5421 ,6352 ,5367 ,6769 ,6115 ,7270 ,6477 ,7313 ,6756 ,7776 ,7622 ,9222 ,8840 ,11710 ,12514 ,13304 ,19904 ,6709 ,13534 ,4637 ,8091 ,4917 ,8046 ,3273 ,6474 ,1048 ,3622 ,3 ,276 ,0 ,2 ,0 ,0 ,0 ,0 
20-Sep,2호선,29,삼성(무역센터),185 ,1 ,4573 ,4612 ,6183 ,42985 ,12925 ,112272 ,17125 ,260961 ,15970 ,184711 ,16974 ,69331 ,23715 ,43639 ,29077 ,39714 ,35810 ,45060 ,44714 ,38409 ,57444 ,34654 ,77536 ,32507 ,143601 ,34770 ,223279 ,39944 ,122479 ,23104 ,85521 ,12332 ,65182 ,10355 ,37647 ,6320 ,8580 ,4555 ,2 ,2168 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,30,선릉,67 ,0 ,3519 ,6033 ,9346 ,37422 ,16620 ,97790 ,24272 ,237097 ,22349 ,179703 ,25631 ,70047 ,33913 ,47006 ,39529 ,41569 ,47464 ,45809 ,55616 ,42234 ,70436 ,36264 ,100861 ,33587 ,150788 ,36905 ,236642 ,39610 ,115795 ,25289 ,68435 ,14630 ,63570 ,12713 ,43815 ,8868 ,12338 ,5565 ,3 ,84 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,31,역삼,71 ,0 ,3585 ,7034 ,7694 ,40410 ,12164 ,102335 ,19564 ,270723 ,18898 ,219245 ,17765 ,76233 ,23905 ,45856 ,28880 ,40370 ,34506 ,44697 ,43387 ,38107 ,57474 ,35478 ,77719 ,31917 ,150759 ,35161 ,225301 ,38764 ,109527 ,26697 ,62285 ,15655 ,57935 ,12870 ,34802 ,9044 ,11130 ,5684 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
